Identifier,Actual Dates:Duration months,Actual Dates:End Date,Actual Dates:Start Date,Amount Applied For,Amount Awarded,Amount Disbursed,Award Date,Beneficiary Location:0:Country Code,Beneficiary Location:0:Geographic Code,Beneficiary Location:0:Geographic Code Type,Beneficiary Location:0:Name,Beneficiary Location:1:Country Code,Beneficiary Location:1:Geographic Code,Beneficiary Location:1:Geographic Code Type,Beneficiary Location:1:Name,Beneficiary Location:2:Country Code,Beneficiary Location:2:Geographic Code,Beneficiary Location:2:Geographic Code Type,Beneficiary Location:2:Name,Beneficiary Location:3:Country Code,Beneficiary Location:3:Geographic Code,Beneficiary Location:3:Geographic Code Type,Beneficiary Location:3:Name,Beneficiary Location:4:Country Code,Beneficiary Location:4:Geographic Code,Beneficiary Location:4:Geographic Code Type,Beneficiary Location:4:Name,Beneficiary Location:5:Country Code,Beneficiary Location:5:Geographic Code,Beneficiary Location:5:Geographic Code Type,Beneficiary Location:5:Name,Beneficiary Location:6:Country Code,Beneficiary Location:6:Geographic Code,Beneficiary Location:6:Geographic Code Type,Beneficiary Location:6:Name,Beneficiary Location:7:Country Code,Beneficiary Location:7:Geographic Code,Beneficiary Location:7:Geographic Code Type,Beneficiary Location:7:Name,Beneficiary Location:Geographic Code,Beneficiary Location:Geographic Code Type,Beneficiary Location:Name,Currency,Data Source,Description,From An Open Call?,Funding Org:Description,Funding Org:Identifier,Funding Org:Name,Funding Org:Postal Code,Funding Org:Web Address,Grant Programme:Code,Grant Programme:Title,Grant Programme:URL,Last modified,License see note,Planned Dates:Duration (months),Planned Dates:Duration months,Planned Dates:End Date,Planned Dates:Start Date,Publisher:Name,Recipient District,Recipient District Geographic Code,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Identifier,Recipient Org:Location:0:Geographic Code,Recipient Org:Location:0:Geographic Code Type,Recipient Org:Location:0:Name,Recipient Org:Location:1:Geographic Code,Recipient Org:Location:1:Geographic Code Type,Recipient Org:Location:1:Name,Recipient Org:Location:2:Geographic Code,Recipient Org:Location:2:Geographic Code Type,Recipient Org:Location:2:Name,Recipient Org:Name,Recipient Org:Postal Code,Recipient Region,Recipient Ward,Recipient Ward Geographic Code,Retrieved for use in GrantNav,Title,URL,org_type,postcode,org_income,osward,lsoa11,lat,long,relevant
360G-COOPGROUP-3877,,,,,1285.66,,2017-08-04,,KT1,PD,KT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.coop.co.uk/downloads/causes-data-2017.csv,"Fund our carnival to bring together communities, make a positive impact and ensure that Kingston is a colourful, exciting place to live.",,,GB-COH-IP00525R,Co-operative Group,,,,,,,https://creativecommons.org/licenses/by-sa/4.0/,,,,,Co-operative Group,Kingston upon Thames London Boro,E09000021,1135522,,GB-CHC-1135522,,,,,,,,,,Kingston Race and Equalities Council,KT1 1BW,London,Grove Ward,E05000408,2018-06-04T13:13:36+00:00,Grant to Kingston Race and Equalities Council,,Charity,KT1 1BW,76847.0,E05000408,E01002968,51.410061,-0.303048,1
360G-COOPGROUP-2790,,,,,1513.61,,2017-08-04,,KT2,PD,KT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.coop.co.uk/downloads/causes-data-2017.csv,"Help us run our courses for free to support all people with long-term, enduring mental health issues to be resilient & confident.",,,GB-COH-IP00525R,Co-operative Group,,,,,,,https://creativecommons.org/licenses/by-sa/4.0/,,,,,Co-operative Group,Kingston upon Thames London Boro,E09000021,1076791,,GB-CHC-1076791,,,,,,,,,,Mind in Kingston,KT2 6LX,London,Canbury Ward,E05000403,2018-06-04T13:13:36+00:00,Grant to Mind in Kingston,,Charity,KT2 6LX,316973.0,E05000403,E01033569,51.412991,-0.298597,1
360G-COOPGROUP-2889,,,,,1646.29,,2017-08-04,,KT2,PD,KT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.coop.co.uk/downloads/causes-data-2017.csv,Our Trips & Treats programme aims to bring some fun and laughter to children who are enduring tough treatment for cancer or serious illness,,,GB-COH-IP00525R,Co-operative Group,,,,,,,https://creativecommons.org/licenses/by-sa/4.0/,,,,,Co-operative Group,Kingston upon Thames London Boro,E09000021,1106677,,GB-CHC-1106677,,,,,,,,,,Momentum,KT2 5JE,London,Canbury Ward,E05000403,2018-06-04T13:13:36+00:00,Grant to Momentum,,Charity,KT2 5JE,647409.0,E05000403,E01002934,51.418428,-0.297734,1
360G-EFF-15-0782,,,,,60000.0,,2015-11-02,,,,UK Whole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://esmeefairbairn.org.uk/userfiles/Documents/Grants%20list/Esmee_Grants_Since_2008.json,Towards the salary of the campaign director to eliminate the sale of sharks and other threatened fish species in the UK and strengthen the organisation's partnerships and capacity.,,,GB-CHC-200051,Esmée Fairbairn Foundation,,,,Main Grant,,,https://creativecommons.org/licenses/by/4.0/,,36.0,,,Esmee Fairbairn Foundation,Kingston upon Thames London Boro,E09000021,1137772,,GB-CHC-1137772,,,,,,,,,,Bite-Back Shark and Marine Conservation,KT1 3EX,London,Norbiton Ward,E05000409,2018-06-04T13:14:14+00:00,Grant to Bite-Back Shark and Marine Conservation,http://www.bite-back.com,Charity,KT1 3EX,50576.0,E05000409,E01002971,51.406884,-0.289837,1
360G-EFF-13-1888,,,,,500000.0,,2014-09-10,,,,England/London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://esmeefairbairn.org.uk/userfiles/Documents/Grants%20list/Esmee_Grants_Since_2008.json,"An investment in Y Cube Housing, a new housing solution for young people.",,,GB-CHC-200051,Esmée Fairbairn Foundation,,,,Social Investment,,,https://creativecommons.org/licenses/by/4.0/,,84.0,,,Esmee Fairbairn Foundation,Kingston upon Thames London Boro,E09000021,1041923,,GB-CHC-1041923,,,,,,,,,,YMCA London South West,KT6 4QH,London,St. Mark's Ward,E05000412,2018-06-04T13:14:14+00:00,Social investment YMCA London South West,http://www.ymcalsw.org,Charity,KT6 4QH,17089802.0,E05000412,E01002989,51.393362,-0.305549,0
360G-cabinetoffice-GA-033377,,,,,15323000.0,,2012-03-31,,E92000001,CTRY,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/663589/GGIS_Grant_Awards_2016_to_2017_2017-10-27_1621.xlsx,Support for local highways maintenance.,No,,D9,Department for Transport,,,SCH-000000476,Highways Maintenance Block 2016/17,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,2013-03-30T00:00:00+00:00,2012-03-31T00:00:00+00:00,Cabinet Office,Kingston upon Thames London Boro,E09000021,,,GGIS_ID_401,,,,,,,,,,Surrey County Council,KT1 2DN,London,Grove Ward,E05000408,2018-06-04T13:13:21+00:00,Highways Maintenance Block 2016/17,,Government,KT1 2DN,,E05000408,E01002965,51.404903,-0.305144,0
360G-COOPGROUP-1637,,,,,1106.94,,2017-08-04,,KT3,PD,KT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.coop.co.uk/downloads/causes-data-2017.csv,Bikes and play equipment will help our children to play happily and safely indoors and outdoors.,,,GB-COH-IP00525R,Co-operative Group,,,,,,,https://creativecommons.org/licenses/by-sa/4.0/,,,,,Co-operative Group,Kingston upon Thames London Boro,E09000021,1038134,,GB-CHC-1038134,,,,,,,,,,Abacus Pre-School,KT3 3QE,London,Beverley Ward,E05000402,2018-06-04T13:13:36+00:00,Grant to Abacus Pre-School,,Pre School,KT3 3QE,90749.0,E05000402,E01002930,51.401788,-0.257665,0
360G-dulverton-006D000000MJrJQ,,,,,5000.0,,2007-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,http://www.dulverton.org/wp-content/uploads/2018/01/360G_dulverton_Jan2005_Jan2018.xlsx,Towards the expansion of the Reading List Project,,,GB-COH-07991677,The Dulverton Trust,,,,,,,https://creativecommons.org/licenses/by/4.0/,,,2008-02-06T00:00:00+00:00,2007-02-06T00:00:00+00:00,The Dulverton Trust,Kingston upon Thames London Boro,E09000021,,,GB-CHC-1089810,,,,,,,,,,Partnership for Children,KT1 1JH,London,Grove Ward,E05000408,2018-06-04T13:20:06+00:00,Towards the expansion of the Reading List Project,,Charity,KT1 1JH,,E05000408,E01002968,51.409588,-0.305776,0
360G-COOPGROUP-7116,,,,,1426.32,,2017-11-29,,KT3,PD,KT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.coop.co.uk/downloads/causes-data-2017.csv,"We want to buy new kit for our development team and promote the team and its matches, building a respected brand and pride among locals.",,,GB-COH-IP00525R,Co-operative Group,,,,,,,https://creativecommons.org/licenses/by-sa/4.0/,,,,,Co-operative Group,Kingston upon Thames London Boro,E09000021,,,360G-coopgroup-Malden_Wanderers_Cricket_&_Lawn_Tennis_Club,,,,,,,,,,Malden Wanderers Cricket & Lawn Tennis Club,KT3 4LE,London,Beverley Ward,E05000402,2018-06-04T13:13:36+00:00,Grant to Malden Wanderers Cricket & Lawn Tennis Club,,Sport Club,KT3 4LE,,E05000402,E01002929,51.408609,-0.253811,1
360G-blf-0031047286,,,,,7663.0,,2017-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/open_data_2015_2017.xlsx,"The funding will be used to run a summer peer support programme for young carers which will include drama workshops, healthy eating and budgeting sessions and a variety of family seaside, camping and adventure trips. The project aims to improve personal and emotional resilience through respite breaks, peer support and developing life skills.",,,360G-blf,The Big Lottery Fund,,,AFE1,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,2018-04-13T00:00:00+00:00,2017-04-13T00:00:00+00:00,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,1151456,8376060,GB-CHC-1151456,E05000402,,Beverley,E09000021,,Kingston upon Thames,,,,Kingston Carers' Network,,London,Beverley Ward,E05000402,2018-06-04T08:59:31+00:00,"Young Carers thrive, not survive",,Charity,SW19 5JP,547026.0,E05000472,E01003464,51.43676,-0.222956,1
